"type","city","street","cost","area"
"7er WG","Hamburg St. Pauli","Detlev Bremer Straße, 2","645","15"
"1-Zimmer-Wohnung","Hamburg St. Pauli","Detlev Bremer Straße, 2","645","165"
"3er WG","Hamburg Winterhude","Buchenstrasse 18","450","13"
"7er WG","Hamburg Rotherbaum","Bundesstraße","453","24"
"1-Zimmer-Wohnung","Hamburg Hamm","Braußpark 10","480","32"
"7er WG","Hamburg Rotherbaum","Bundesstraße","518","31"
"1-Zimmer-Wohnung","Hamburg Winterhude","Hans-Henny-Jahnn-Weg","720","36"
"2er WG","Hamburg Barmbek-Süd","Schleidenstraße 4","450","14"
"2er WG","Hamburg TUHH-Nähe","Niedersachsenweg","425","14"
"6er WG","Hamburg St. Georg","Adenauerallee 32","540","22"
"3er WG","Hamburg Bramfeld","Ole Wisch 11","630","19"
"6er WG","Hamburg Harburg","Gerade Straße 3","417","14"
"3er WG","Hamburg Hohenfelde","Kuhmühle 10","425","12"
"5er WG","Hamburg Niendorf","Chaukenweg","450","17"
"4er WG","Hamburg Hamm-Nord","Sievekingsallee","420","16"
"1-Zimmer-Wohnung","Hamburg Wilhelmsburg","Dratelnstraße 32 a-c","582","19"
"2er WG","Hamburg Lokstedt","Liethberg","420","15"
"5er WG","Hamburg Niendorf","Chaukenweg","550","38"
"3er WG","Hamburg Ottensen","Arnoldstraße 76","420","10"
"1-Zimmer-Wohnung","Hamburg Hoheluft-Ost","Neumünstersche Str. 19","545","42"
"2er WG","Hamburg Eimsbüttel","Eimsbütteler Chaussee 1","581","18"
"3er WG","Hamburg Ottensen","Große Brunnenstraße 1","600","13"
"4er WG","Hamburg Wellingsbüttel","Karlshöhe 0","550","25"
"3er WG","Hamburg Ottensen","Arnoldstraße 76","520","16"
"5er WG","Hamburg St. Pauli","Kastanienallee","590","14"
"5er WG","Hamburg St. Pauli","Kastanienallee","590","14"
"5er WG","Hamburg St. Pauli","Kastanienallee","720","24"
"5er WG","Hamburg St. Pauli","Kastanienallee","570","11"
"5er WG","Hamburg Harburg","Lüneburger Straße","360","18"
"3er WG","Hamburg St. Georg","Repsoldstraße","580","20"
"2er WG","Hamburg Bahrenfeld","278","590","15"
"2er WG","Hamburg Winterhude","Winterlindenweg","499","16"
"2er WG","Hamburg Rothenburgsort","Lindleystraße 2","650","20"
"3er WG","Hamburg Winterhude","Barmbeker Straße 177","630","20"
"4er WG","Hamburg St. Pauli","Gilbertstraße 24","550","20"
"3er WG","Hamburg Hoheluft-West","Roonstraße","400","12"
"2er WG","Hamburg Hamburg","Kieler Strasse 261","430","20"
"3er WG","Hamburg Altona-Nord","Holstenstraße 200","470","17"
"2er WG","Hamburg Eimsbüttel","Stellinger Weg 47","420","13"
"3er WG","Hamburg Hoheluft-Ost","heider strasse","480","14"
"2er WG","Hamburg Uhlenhorst","Finkenau","590","18"
"3er WG","Hamburg Sternschanze","Schanzenstraße 107","500","15"
"6er WG","Hamburg St. Georg","Adenauerallee","540","22"
"2er WG","Hamburg Hoheluft-West","Heckscherstraße 5 b","450","17"
"3er WG","Hamburg Wilhelmsburg","Obergeorgswerder Deich 64","340","11"
"4er WG","Hamburg Eppendorf","Heider Straße","490","28"
"1-Zimmer-Wohnung","Hamburg Hamm-Mitte","Ritterstraße","610","29"
"1-Zimmer-Wohnung","Hamburg Altona-Altstadt","Behringstraße 140","840","27"
"1-Zimmer-Wohnung","Hamburg Altona-Nord","Kieler Straße 3","771","21"
"1-Zimmer-Wohnung","Hamburg Altona-Nord","Kieler Straße 3","715","19"
"1-Zimmer-Wohnung","Hamburg Alsterdorf","Rotbuchenhain 10","882","40"
"2er WG","Hamburg Buchholz","Schützenstraße 18a","312","18"
"4er WG","Hamburg Eilbek","Hagenau 84","500","20"
"3er WG","Hamburg Harvestehude","Hohe Weide","653","17"
"2er WG","Hamburg Eppendorf","Frickestrasse 57","550","16"
"2er WG","Hamburg Harburg","Wattenbergstraße 2","455","15"
"1-Zimmer-Wohnung","Hamburg Eimsbüttel","Ring 2","610","43"
"2er WG","Hamburg Horn","OSwaldstraße","400","11"
"4er WG","Hamburg Neugraben-Fischbek","X","400","17"
"1-Zimmer-Wohnung","Hamburg Eppendorf","Eppendorfer Weg 270","695","180"
"2er WG","Hamburg Wilhelmsburg","Fährstrasse","400","18"
"3er WG","Hamburg Eppendorf","Eppendorfer Weg 270","695","15"
"4er WG","Hamburg Hamm-Nord","Eilbek","510","24"
"1-Zimmer-Wohnung","Hamburg Barmbek-Süd","Nähe Wagnerstr.","600","27"
"2er WG","Hamburg Neugraben-Fischbek","Kleinfeld 78","370","16"
"5er WG","Hamburg Eidelstedt","Kieler Straße 617","580","21"
"3er WG","Hamburg Hausbruch","Nähe S-Bahn Neuwiedenthal","600","18"
"2er WG","Hamburg Hamm","Smidtstraße","530","18"
"3er WG","Hamburg Wandsbek","Lesserstraße","500","17"
"2er WG","Hamburg Winterhude","Meerweinstrasse","415","16"
"3er WG","Hamburg Hohenfelde","Landwehr 15","351","18"
"2er WG","Hamburg St. Pauli","Silbersackstraße","550","16"
"3er WG","Hamburg Heimfeld","Heimfelder Straße 20","515","21"
"2er WG","Hamburg Barmbek-Nord","Lauensteinstr.15","400","12"
"2er WG","Hamburg St. Pauli","Budapester Straße, 40","750","18"
"4er WG","Hamburg Sternschanze","Rosenhofstraße","590","21"
"4er WG","Hamburg Ottensen","Klopstockplatz XX","550","18"
"4er WG","Hamburg Harburg","Schellerdamm","460","16"
"1-Zimmer-Wohnung","Hamburg Barmbek-Süd","Hamburger Straße 20","770","26"
"2er WG","Hamburg Veddel","An der Hafenbahn","400","15"
"2er WG","Hamburg Veddel","An der Hafenbahn","400","15"
"2er WG","Hamburg Othmarschen","Sohrhof","1","18"
"3er WG","Hamburg Billstedt","Manshardtstr.","420","17"
"5er WG","Hamburg Billstedt","Manshardtstr","420","14"
"5er WG","Hamburg Billstedt","Manshardtstr","395","10"
"5er WG","Hamburg Billstedt","Manshardtstr","420","16"
"1-Zimmer-Wohnung","Hamburg Winterhude","Eppendorfer Stieg","540","25"
"5er WG","Hamburg Billstedt","Manshardtstr","395","11"
"5er WG","Hamburg Billstedt","Manshardtstr","395","10"
"2er WG","Hamburg Stellingen","Hagenbeckstraße","610","23"
"4er WG","Hamburg Tonndorf","Stein-Hardenberg-Straße","420","18"
"3er WG","Hamburg Sternschanze","Weidenallee","640","16"
"4er WG","Hamburg Lurup","Farnhornweg","520","19"
"2er WG","Hamburg Altona-Altstadt","Thedestraße 64","345","16"
"3er WG","Hamburg St. Pauli","Kastanienallee 15","407","16"
"3er WG","Hamburg Rotherbaum","Rothenbaumchaussee","580","18"
"1-Zimmer-Wohnung","Hamburg Harburg","Knoopstraße 35","660","18"
"2er WG","Hamburg Winterhude","Semperstraße 77","440","18"
"2er WG","Hamburg Eimsbüttel","Grädenerstraße 6","625","20"
"4er WG","Hamburg St. Pauli","Hopfenstrasse 30","460","13"
"2er WG","Hamburg Altona-Altstadt","Lornsenplatz 1","465","17"
"3er WG","Hamburg Langenhorn","Krohnstieg","430","15"
"3er WG","Hamburg Langenhorn","Krohnstieg","430","15"
"3er WG","Hamburg Langenhorn","Krohnstieg","430","15"
"3er WG","Hamburg Winterhude","Alsterdorfer Str. 20","395","6"
"2er WG","Hamburg St. Pauli","Hans-Albers-Platz","300","17"
"3er WG","Hamburg Winterhude","Alsterdorfer Str. 20","795","35"
"2er WG","Hamburg Eppendorf","Geschwister Scholl Str. 48","650","18"
"3er WG","Hamburg St. Pauli","Gilbertstraße","570","12"
"2er WG","Hamburg Eilbek","Marienthaler Straße","450","14"
"3er WG","Hamburg Barmbek-Süd","Lohkoppelstr. 2c,","416","12"
"4er WG","Hamburg Bezirk-HH- Eimsbüttel","Eidelstedter Bro.","485","15"
"2er WG","Hamburg Bramfeld","Hegholt","450","18"
"6er WG","Hamburg Lokstedt","Niendorfer Str.","543","14"
"1-Zimmer-Wohnung","Hamburg Lemsahl-Mellingstedt","Raamstieg","500","30"
"2er WG","Hamburg Heimfeld","Nobleestr. 3","400","18"
"2er WG","Hamburg Ottensen","Griegstrasse 4","495","20"
"17er WG","Hamburg Sternschanze","Max - Brauer - Allee 277","320","18"
"17er WG","Hamburg Sternschanze","Max-Brauer-Allee 277","490","11"
"3er WG","Hamburg Dulsberg","Dulsberg-Süd 14","400","12"
"2er WG","Hamburg Bergedorf","Holtenklinkerstr. 150","450","20"
"2er WG","Hamburg Heimfeld","Nobleestr. 3","390","16"
"1-Zimmer-Wohnung","Hamburg Hamburg","Hannoversche Str. 88","650","18"
"1-Zimmer-Wohnung","Hamburg Hohenfelde","Ifflandstraße","910","33"
"2er WG","Hamburg Lokstedt","Brunsberg 30","530","17"
"2er WG","Hamburg Eimsbüttel","Heußweg 100","400","14"
"2er WG","Hamburg Stellingen","Basselweg 83","370","13"
"3er WG","Hamburg Sternschanze","Schäferstr.","525","13"
"2er WG","Hamburg Sternschanze","Beckstr. 1","400","14"
"2er WG","Hamburg St. Pauli","glashüttenstr.","410","12"
"2er WG","Hamburg Farmsen-Berne","Swinemünder Straße 13","370","16"
"3er WG","Hamburg Uhlenhorst","Finkenau 2","420","18"
"3er WG","Hamburg St. Georg","Alexanderstraße 2","650","15"
"2er WG","Hamburg Barmbek-Süd","Vogelweide 37a","590","12"
"2er WG","Hamburg Altona","Hohenzollernring 142","560","20"
"2er WG","Hamburg Horn","Bömelburgstieg 1","445","15"
"4er WG","Hamburg Bramfeld","Olewischtwiet, 6c","500","16"
"2er WG","Hamburg Barmbek-Nord","Lünkenweg 1","850","12"
"6er WG","Hamburg Eidelstedt","Krupunder weg 7","420","14"
"2er WG","Hamburg Hamburg","Alstertwiete","450","13"
"2er WG","Hamburg Eppendorf","Frickestrasse 70","550","18"
"3er WG","Hamburg Winterhude","Maria-Louisen-Straße","550","14"
"3er WG","Hamburg St. Pauli","Gilberstr. 31","550","17"
"7er WG","Hamburg Volksdorf","Meiendorfer Weg","330","11"
"2er WG","Hamburg Hamm-Nord","Sievekingeallee","500","17"
"3er WG","Hamburg Harburg","Ruststraße 8","530","12"
"2er WG","Hamburg Lokstedt","Widukindstraße 2","500","18"
"2er WG","Hamburg Horn","Culinstrasse 39","499","14"
"4er WG","Hamburg Barmbek","Krausestraße","519","10"
"2er WG","Hamburg Hamm-Nord","Hammer Berg 21b","400","13"
"2er WG","Hamburg Bergedorf","Klosterhagen 24","480","10"
"2er WG","Hamburg Hammerbrook","Hammerbrookstr. 42a","363","18"
"2er WG","Hamburg Hamm-Süd","Osterbrook 3","490","18"
"2er WG","Hamburg Ottensen","Daimlertwiete","460","17"
"2er WG","Hamburg Dulsberg","Olivaer Straße 8","400","15"
"1-Zimmer-Wohnung","Hamburg Lokstedt","brunsberg","625","33"
"2er WG","Hamburg Wilhelmsburg","Harburger Chaussee 33","500","25"
"2er WG","Hamburg Eimsbüttel","Osterstraße","550","19"
"2er WG","Hamburg Barmbek","Meister Francke Straße","450","16"
"2er WG","Hamburg Harvestehude","Jungfrauenthal","650","20"
"3er WG","Hamburg Ottensen","Hohenzollernring 30","640","20"
"3er WG","Hamburg Ottensen","Hohenzollernring 30","640","17"
"3er WG","Hamburg Winterhude","Mühlenkamp 10C","580","11"
"3er WG","Hamburg Borgfelde","Bürgerweide 36","495","15"
"4er WG","Hamburg St. Pauli","Seilerstr. 40","385","13"
"2er WG","Hamburg Ottensen","Friedensallee 4","804","16"
"3er WG","Hamburg Eilbek","Fichtestr. 23","540","20"
"2er WG","Hamburg Bramfeld","Hegholt","450","18"
"5er WG","Hamburg Stellingen","Kieler Straße, 617","580","21"
"3er WG","Hamburg Eißendorf","Ruststraße 8","740","16"
"2er WG","Hamburg Eimsbüttel","Tresckowstraße","598","20"
"3er WG","Hamburg Altona-Nord","Paulsenplatz 11","418","18"
"2er WG","Hamburg Hoheluft-West","Gärtnerstraße","500","10"
"3er WG","Hamburg Barmbek-Süd","Dehnhaide","559","16"
"2er WG","Hamburg Heimfeld","Niemannstraße 16","500","15"
"3er WG","Hamburg Hamburg","Duschweg, 3","500","18"
"2er WG","Hamburg Sternschanze","Lippmannstr.","480","16"
"2er WG","Hamburg Uhlenhorst","Finkenau 36","580","18"
"6er WG","Hamburg Eidelstedt","Elbgaustraße 83","585","22"
"2er WG","Hamburg Eidelstedt","Heimstättenstrasse 5a","450","12"
"3er WG","Hamburg Uhlenhorst","Uhlenhorst 23","600","15"
"2er WG","Hamburg Barmbek-Nord","Fuhlsbüttler Str.","650","17"
"2er WG","Hamburg Winterhude","Heidberg","600","25"
"2er WG","Hamburg Neustadt","Teilfeld, 10","600","10"
"3er WG","Hamburg Eimsbüttel","Hoheluftbrücke","570","20"
"2er WG","Hamburg Bergedorf","Billweise 22","280","15"
"5er WG","Hamburg St. Georg","Bremer Reihe","437","16"
"2er WG","Hamburg Eppendorf","Frickestraße 36","560","22"
"3er WG","Hamburg Ottensen","Hohenzollernring, 74","500","19"
"2er WG","Hamburg Altona-Nord","Kieler Strasse 15","380","15"
"8er WG","Hamburg Rotherbaum","Johnsallee, 64","315","16"
"3er WG","Hamburg St. Pauli","Gilbert Str. 31","550","17"
"3er WG","Hamburg Barmbek-Süd","Finkenau 16","495","12"
"3er WG","Hamburg Barmbek-Süd","Finkenau 16","550","19"
"3er WG","Hamburg Barmbek-Süd","Finkenau 16","550","19"
"3er WG","Hamburg Eimsbüttel","Im Gehölz","263","9"
"2er WG","Hamburg Eimsbüttel","Selliusstraße 10","550","13"
"2er WG","Hamburg Borgfelde","Bürgerweide","605","14"
"3er WG","Hamburg St. Pauli","Seilerstraße","550","20"
"1-Zimmer-Wohnung","Hamburg Hammerbrook","Schultzweg 2","676","19"
"3er WG","Hamburg Altona-Nord","Otzenstaße","550","18"
"2er WG","Hamburg Sternschanze","Beckstraße","600","20"
"5er WG","Hamburg Altona-Altstadt","Bei der Friedenseiche","614","18"
"5er WG","Hamburg Eimsbüttel","Wördemanns Weg 3","590","23"
"2er WG","Hamburg Barmbek-Süd","Weidestraße","500","14"
"2er WG","Hamburg Wandsbek","Ahrensburger Str., 131A","420","14"
"3er WG","Hamburg St. Georg","Norder strasse","580","20"
"1-Zimmer-Wohnung","Hamburg Hamburg","Garstedter Weg, 206","780","33"
"5er WG","Hamburg Eilbek","Eilbeker Weg 33","350","9"
"5er WG","Hamburg Eilbek","Eilbeker Weg","450","18"
"2er WG","Hamburg Uhlenhorst","Birkenau 3","670","25"
"2er WG","Hamburg Eppendorf","Falkenried Ecke Martinist...","720","18"
"2er WG","Hamburg Wandsbek","Walddörferstraße 163","400","25"
"2er WG","Hamburg Altona-Nord","Kieler Straße 77","500","20"
"2er WG","Hamburg Hohenfelde","Lübecker Straße","600","25"
"3er WG","Hamburg Barmbek-Nord","XXXXXXXXXXXXXXXX","550","22"
"1-Zimmer-Wohnung","Hamburg Eimsbüttel","Lutterothstrasse","690","42"
"6er WG","Hamburg Harburg","Gerade Str. 3","338","8"
"5er WG","Hamburg Lurup","Jevenstedter Str.89","391","12"
"6er WG","Hamburg Harburg","Gerade Str 3","408","14"
"2er WG","Hamburg Flughafen Langenhorn Nord...","Hempberg 6","450","22"
"6er WG","Hamburg Winterhude","Sierichstrasse 18","665","15"
"5er WG","Hamburg Eppendorf","Neumünstersche Strasse 18","770","30"
"2er WG","Hamburg Eilbek","Wandsbeker Chaussee 238","490","18"
"3er WG","Hamburg Barmbek-Nord","Ruthsweg 12","25","14"
"3er WG","Hamburg Barmbek-Nord","Krausestr. 42","400","11"
"3er WG","Hamburg Horn","Horner Rampe 7","450","15"
"2er WG","Hamburg Eimsbüttel","Clasingstrasse 10","600","17"
"2er WG","Hamburg Barmbek-Süd","Herderstraße","520","14"
"3er WG","Hamburg Rotherbaum","Durchschnitt 26","550","16"
"3er WG","Hamburg Horn","Horner Rampe 7","450","15"
"3er WG","Hamburg Othmarschen","Ebertallee","550","16"
"2er WG","Hamburg Heimfeld","Eißendorfer Pferdeweg","310","14"
"2er WG","Hamburg Borgfelde","Bürgerweide","565","20"
"5er WG","Hamburg Harvestehude - Hoheluft","Hallerstr.","460","26"
"2er WG","Hamburg Allermöhe","Otto Grot Str.5","370","14"
"3er WG","Hamburg Hamm-Nord","Lohhof 15","500","15"
"2er WG","Hamburg Allermöhe","Fleetplatz 7","475","18"
"2er WG","Hamburg Hausbruch","Stubbenhof 4","350","16"
"3er WG","Hamburg Eimsbüttel","Vereinsstraße 61","550","12"
"3er WG","Hamburg Barmbek-Süd","Schumannstraße 49","437","22"
"2er WG","Hamburg Winterhude","Timmermannstrasse 8a","600","19"
"3er WG","Hamburg Wilhelmsburg","mannesallee 31","550","22"
"1-Zimmer-Wohnung","Hamburg Nähe Alster und Mundsburg","Güntherstrasse 67","900","28"
"1-Zimmer-Wohnung","Hamburg Ottensen","Behringstraße 140","613","30"
"3er WG","Hamburg Horn","Rhiemsweg 78","400","8"
"2er WG","Hamburg Wilhelmsburg","Harburger Chaussee 33","500","20"
"3er WG","Hamburg Barmbek-Nord","Elligersweg 54,","350","20"
"4er WG","Hamburg Finkenwerder","Neßdeich 21","400","11"
"4er WG","Hamburg Allermöhe","Anna-von-Gierke-Ring 87","375","16"
"4er WG","Hamburg Bergedorf","Anna-von-Gierke-Ring 87","395","22"
"2er WG","Hamburg Winterhude","Maacksgasse","540","12"
"4er WG","Hamburg Finkenwerder","Focksweg 79","450","22"
"3er WG","Hamburg Horn","Tribünenweg","480","17"
"5er WG","Hamburg Harvestehude","Klosterallee 67","780","21"
"4er WG","Hamburg Eppendorf","Wendloher Weg 20","390","10"
"2er WG","Hamburg Steilshoop","Cesar-Klein-Ring","480","14"
"3er WG","Hamburg St. Pauli","Hein-Hoyer-Straße, 23","500","20"
"2er WG","Hamburg Eimsbüttel","Sillemstraße 74","530","16"
"5er WG","Hamburg Altona-Altstadt","Große Bergstraße","430","13"
"5er WG","Hamburg Altona-Altstadt","Große Bergstraße 142","590","26"
"2er WG","Hamburg Winterhude","Glindweg","480","15"
"2er WG","Hamburg Bahrenfeld","Stresemannstr","655","16"
"1-Zimmer-Wohnung","Hamburg Wilhelmsburg","Fährstraße","380","13"
"2er WG","Hamburg Harburg","Am Exerzierplatz","480","18"
"5er WG","Hamburg Harvestehude","Klosterallee 67","890","20"
"2er WG","Hamburg Barmbek-Nord","Langenfort","430","16"
"2er WG","Hamburg Eimsbüttel","Voigtstrasse 9","600","15"
"2er WG","Hamburg Horn","Legienstraße 6","540","24"
"2er WG","Hamburg Hoheluft-West","Gärtnerstraße 101","520","12"
"2er WG","Hamburg Stellingen","Försterweg 80","450","17"
"2er WG","Hamburg Rahlstedt","Offenbachweg 9","400","15"
"8er WG","Hamburg Hamm-Nord","Palmerstr. 18","442","25"
"3er WG","Hamburg Barmbek-Nord","Burmester Straße","580","15"
"2er WG","Hamburg Altona-Altstadt","Holstenstr., 169","380","14"
"2er WG","Hamburg Heimfeld","Denickestr. 42a","300","18"
"3er WG","Hamburg Hamburg","Dieselstr 9","390","10"
"2er WG","Hamburg Harburg","Hannoversche Str 88","500","13"
"3er WG","Hamburg Bahrenfeld","Celsiusweg 1","520","16"
"2er WG","Hamburg Karoviertel","Karolinenstraße","425","17"
"5er WG","Hamburg Altona-Nord","Holstenstr. 198","441","10"
"3er WG","Hamburg Eimsbüttel","Eppendorfer Weg 7","520","17"
"3er WG","Hamburg Bahrenfeld","Haydnstraße 2","637","16"
"2er WG","Hamburg Sternschanze","Vereinsstrasse 29","550","10"
"1-Zimmer-Wohnung","Hamburg Rotherbaum","Beim Schlump","790","38"
"2er WG","Hamburg Eppendorf","Lokstedter Weg 104","595","10"
"2er WG","Hamburg Altona - Hamburg St. Pauli","Davidstrasse 3","489","17"
"2er WG","Hamburg Borgfelde","Bethesda Str.","490","16"
"3er WG","Hamburg Farmsen-Berne","Stuhtsweg","428","13"
"3er WG","Hamburg Lokstedt","Siemersplatz","400","20"
"2er WG","Hamburg Eilbek","Hirschgraben 38","520","22"
"1-Zimmer-Wohnung","Hamburg Horn","Steinfeldtstr.12b","450","34"
"2er WG","Hamburg Winterhude","Riststr. 3","520","23"
"6er WG","Hamburg Hammerbrook","Wendenstraße 45","406","20"
"2er WG","Hamburg Harvestehude","Hansastrasse, 58","550","23"
"2er WG","Hamburg St. Georg","Bremer Reihe","380","20"
"2er WG","Hamburg Volksdorf","Volksdorf","400","12"
"11er WG","Hamburg Othmarschen","Othmarscher Kirchenweg 103","250","15"
"2er WG","Hamburg Ottensen","Altona","120","20"
"2er WG","Hamburg Altona-Altstadt","ALTONA","450","20"
"2er WG","Hamburg Billstedt","Schleemer Weg 42","670","20"
"2er WG","Hamburg Eimsbüttel","Fruchtallee","500","17"
"2er WG","Hamburg Eimsbüttel","Beim Schlump 31","550","20"
"3er WG","Hamburg Hamburg Altstadt","Brandstwiete 36","550","13"
"1-Zimmer-Wohnung","Hamburg Altona-Nord","Kieler Straß 3","736","24"
"2er WG","Hamburg St. Georg","Kirchenweg/Zimmerpforte","425","10"
"7er WG","Hamburg Tonndorf","Spandauer weg","350","18"
"3er WG","Hamburg Bergedorf","Reetwerder 19","410","15"
"3er WG","Hamburg Niendorf","Friedrich-Ebert-Straße","309","13"
"4er WG","Hamburg Volksdorf","Maetzelweg 14","450","18"
"3er WG","Hamburg Sternschanze","Schäferstraße 4","550","20"
"1-Zimmer-Wohnung","Hamburg Rissen","Wedelerlandstrasse","500","19"
"2er WG","Hamburg St. Georg","Lange Reihe 77","435","13"
"2er WG","Hamburg Rotherbaum","Rentzelstraße 12","850","20"
"2er WG","Hamburg Lokstedt/Eimsbüttel","Vizelinstraße 45","500","15"
"10er WG","Hamburg Rotherbaum","Martin-Luther-King-Platz","660","10"
"2er WG","Hamburg Allermöhe","Margit-Zinke-Straße 3x","480","13"
"2er WG","Hamburg Eilbek","Chateauneufstr.","550","20"
"2er WG","Hamburg Eimsbüttel","Lutterothstraße 28D","480","15"
"3er WG","Hamburg St. Pauli","Marktstraße 40","430","16"
"2er WG","Hamburg Harburg","Marienstr. 67","430","15"
"7er WG","Hamburg Rotherbaum","Rentzelstr. 12","690","15"
"3er WG","Hamburg Bramfeld","Grootmoor 26","463","19"
"3er WG","Hamburg Niendorf","König-Heinrich-Weg","336","13"
"1-Zimmer-Wohnung","Hamburg Wandsbek","Schloßstraße 107","575","18"
"2er WG","Hamburg Dulsberg","Alter Teichweg","492","19"
"2er WG","Hamburg Horn","Bobergerstraße","460","14"
"4er WG","Hamburg Rotherbaum","Hermann-Behn-Weg","380","20"
"1-Zimmer-Wohnung","Hamburg Eimsbüttel","Wiesingerweg 28","909","34"
"3er WG","Hamburg Ottensen","susettestr.","550","20"
"1-Zimmer-Wohnung","Hamburg Wilhelmsburg","Schwentnerring","400","30"
"1-Zimmer-Wohnung","Hamburg Horn","Horner Weg, 86","850","49"
"2er WG","Hamburg Heimfeld","Heimfelder strasse 43","400","12"
"2er WG","Hamburg Ottensen","Röhrigstraße","390","15"
"2er WG","Hamburg Altona-Nord","Oelkersallee","420","16"
"8er WG","Hamburg Harvestehude","Rentzelstraße 12","790","16"
"2er WG","Hamburg Ottensen","Behringstr. 57 a","490","15"
