"type","city","street","cost","area"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bleichstr., 84","235","22"
"3er WG","Kaiserslautern Innenstadt","Villenstr 12","261","13"
"3er WG","Kaiserslautern am Stadtpark","Rudolf-Breitscheid-Str. 55","300","20"
"3er WG","Kaiserslautern Innenstadt","Apfelstr 6","356","19"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Stärkstr. 5","275","18"
"5er WG","Kaiserslautern Innenstadt","Im Dunkeltälchen 81","320","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Breslauerstr 27","395","25"
"4er WG","Kaiserslautern Erlenbach","am steinhübel 11","400","20"
"4er WG","Kaiserslautern Innenstadt","Karl-Pfaff-Siedlung 47","15","10"
"3er WG","Kaiserslautern Innenstadt","Turnerstraße 2","370","18"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kurt-Schumacher-Straße,64","350","24"
"3er WG","Kaiserslautern UNIWOHNSTADT","Konrad-Adenauer-Straße 57","250","17"
"3er WG","Kaiserslautern Innenstadt","Lämmchesbergstraße 22","230","16"
"2er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße 88","260","14"
"4er WG","Kaiserslautern Lämmchesberg","Pfaffenbergstraße 31","295","15"
"3er WG","Kaiserslautern Innenstadt","Trippstadter Straße 61","295","11"
"2er WG","Kaiserslautern Kaiserslautern","Allestraße","250","10"
"4er WG","Kaiserslautern Innenstadt","Fackelstraße, No 29 6º OG...","265","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Von-der-Goltz-Straße 2","380","40"
"3er WG","Kaiserslautern Uni-Wohngebiet","Davenportplatz","380","15"
"3er WG","Kaiserslautern Innenstadt","Raiffeisenstraße","260","12"
"3er WG","Kaiserslautern Innenstadt","Mühlstr","700","11"
"6er WG","Kaiserslautern Innenstadt","hasesnstr. 65","280","23"
"5er WG","Kaiserslautern innenstadt","Rudolf-Breitscheid-straße 31","180","10"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Wohngebiet","Kurt-Schumacher-Str. 34","285","22"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Alex-Müller-Str. 99","370","24"
"4er WG","Kaiserslautern Innenstadt","Gersweilerweg 27","240","10"
"2er WG","Kaiserslautern Innenstadt","Kanalstraße 72","400","18"
"5er WG","Kaiserslautern Innenstadt","Logenstr","390","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Reh Strasse 2a","300","22"
"6er WG","Kaiserslautern Innenstadt","Friedrich-Engels-Straße 5","295","13"
"4er WG","Kaiserslautern Innenstadt","Fruchthallstraße 19","385","18"
"5er WG","Kaiserslautern Otterbach","Lauterstraße 20","250","15"
"3er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid 2a","225","14"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kohlenhofstraße 2","400","36"
"4er WG","Kaiserslautern Innenstadt","Blücherstraße 18","344","15"
"3er WG","Kaiserslautern kaiserslautern","Richard wagner straße 30","320","20"
"3er WG","Kaiserslautern Innenstadt","Fruchthallstr.23","330","20"
"4er WG","Kaiserslautern Innenstadt","Mannheimer Straße 11","930","18"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt KL-Nord","Alex-Müller Str. 97","340","29"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Wilhelm-Raabe-Strasse 26","400","22"
"2er WG","Kaiserslautern Innenstadt","Gehard-Hauptmann 16 b","283","12"
"3er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Straße 2a","250","15"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Eisenbahnstr. 53","365","26"
"3er WG","Kaiserslautern Innenstadt","Papiermühlstraße, 14","280","12"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Trippstadter Straße 115","455","18"
"1-Zimmer-Wohnung","Kaiserslautern Betzenberg","Cusanussstraße 26","275","29"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Wohnstadt","Kurt-Schumacher-Straße","30","30"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Haspelst.","21","21"
"3er WG","Kaiserslautern beim Stadtpark","Medicusstraße","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Eisenbahnstrasse","34","34"
"1-Zimmer-Wohnung","Kaiserslautern Uni Wohngebiet","Carl-Euler-Straße","30","30"
"1-Zimmer-Wohnung","Kaiserslautern Uni Wohngebiet","Kurt-Schumacher-Straße, ,","28","28"
"5er WG","Kaiserslautern Innenstadt","Benzinoring","20","20"
"4er WG","Kaiserslautern Innenstadt","Blücherstraße","15","15"
"4er WG","Kaiserslautern Innenstadt","Fruchthallstraße","25","25"
"4er WG","Kaiserslautern Innenstadt","Pirmasenser Straße","15","15"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Wohnstadt","Kurt-Schumacher Str.","22","22"
"4er WG","Kaiserslautern Innenstadt","Karcherstraße","16","16"
"4er WG","Kaiserslautern Innenstadt","Malzstr","17","17"
"3er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Straße","15","15"
"5er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Straße","12","12"
"3er WG","Kaiserslautern Innenstadt","Werderstraße","12","12"
"2er WG","Kaiserslautern Kaiserslautern Innenstadt","Wackenmühlstraße","14","14"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","20","20"
"4er WG","Kaiserslautern Innenstadt","Schmied str.","12","12"
"4er WG","Kaiserslautern Innenstadt","Gersweilerweg","20","20"
"5er WG","Kaiserslautern Innenstadt","Königstr.","17","17"
"3er WG","Kaiserslautern Innenstadt","Apfelstr.","19","19"
"3er WG","Kaiserslautern Innenstadt","Apfelstr.","19","19"
"5er WG","Kaiserslautern Innenstadt","Mainzer Straße","19","19"
"1-Zimmer-Wohnung","Kaiserslautern Uniwohngebiet","Theodor- Heuss- Str","27","27"
"3er WG","Kaiserslautern Zentral Kaiserslautern","Blumenstraße","12","12"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserslautern","Wackenmühlstr","22","22"
"3er WG","Kaiserslautern Innenstadt","Schumannstraße","20","20"
"3er WG","Kaiserslautern Innenstadt","Schumannstraße","13","13"
"2er WG","Kaiserslautern Innerstadt","Bierstr.","42","42"
"5er WG","Kaiserslautern Innenstadt","Humboldtstraße","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Eisenbahnstr.","35","35"
"3er WG","Kaiserslautern Innenstadt","Ziegelstr.","14","14"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Gerhart Hauptmann Str.","20","20"
"2er WG","Kaiserslautern Kotten","Sedanstrasse","15","15"
"3er WG","Kaiserslautern Innenstadt","Pfaffenbergstrasse","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Wohngebiet","Kurt-Schumacher-Str.","25","25"
"2er WG","Kaiserslautern Innenstadt","Gaustrasse","13","13"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserslautern Ost","Friedenstraße","21","21"
"6er WG","Kaiserslautern Innenstadt","Kerst str.","15","15"
"9er WG","Kaiserslautern Innenstadt","Glockenstraße","18","18"
"3er WG","Kaiserslautern Innenstadt","Raiffeisenstraße","12","12"
"1-Zimmer-Wohnung","Kaiserslautern Uniwohngebiet","Kurt-Schumacher","24","24"
"3er WG","Kaiserslautern Innenstadt","Kohlenhofstrasse","20","20"
"4er WG","Kaiserslautern Innenstadt","Lutrinastr.","25","25"
"2er WG","Kaiserslautern Uni-Wohngebiet","Konrad-Adenauer-Str","10","10"
"3er WG","Kaiserslautern Innenstadt","Friedrichstraße","18","18"
"3er WG","Kaiserslautern Innenstadt","Medicusstraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Str.","16","16"
"4er WG","Kaiserslautern Innenstadt","Schmied str.","20","20"
"4er WG","Kaiserslautern Innenstadt","Kurtschumacher Straße","16","16"
"3er WG","Kaiserslautern Innenstadt","Blumenstr.","11","11"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bremerstraße","38","38"
"3er WG","Kaiserslautern Innenstadt","Karl-marx-str.","15","15"
"5er WG","Kaiserslautern Innenstadt","Königstr","16","16"
"5er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","15","15"
"5er WG","Kaiserslautern Innenstadt","Königstr.","14","14"
"2er WG","Kaiserslautern Kaiserslautern","Konrad Adenauer Strasse,","17","17"
"3er WG","Kaiserslautern Innenstadt","Moltkestraße","20","20"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","20","20"
"2er WG","Kaiserslautern Innenstadt","Bierstrasse","16","16"
"4er WG","Kaiserslautern Innenstadt","Ohlkasterhohl","18","18"
"5er WG","Kaiserslautern Innenstadt","Pariser Straße","10","10"
"4er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","22","22"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Wohnstadt","Kurt-Schumacher-Straße","21","21"
"3er WG","Kaiserslautern Innenstadt","Fackelstraße","18","18"
"3er WG","Kaiserslautern Innenstadt","Häfnerstr.","17","17"
"1-Zimmer-Wohnung","Kaiserslautern Uniwohngebiet","Kurt-Schumacher Straße","21","21"
"2er WG","Kaiserslautern KL Innenstadt Ost","Bienenstr.","28","28"
"3er WG","Kaiserslautern Innenstadt","Burgstraße,","17","17"
"1-Zimmer-Wohnung","Kaiserslautern Erlenbach","Ochsenberg","38","38"
"3er WG","Kaiserslautern Innenstadt","Apfelstr.","17","17"
"3er WG","Kaiserslautern Koten","Spitalstraße","22","22"
"3er WG","Kaiserslautern Kotten","Spitalstraße","14","14"
"2er WG","Kaiserslautern Innenstadt","Eisenbahnstraße","18","18"
"3er WG","Kaiserslautern Innenstadt","Fackelstraße,","22","22"
"4er WG","Kaiserslautern Innenstadt","Pollichstr","14","14"
"3er WG","Kaiserslautern Innenstadt","Kerststraße","18","18"
"4er WG","Kaiserslautern Innenstadt","Pollichstrasse","22","22"
"4er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Str.","15","15"
"1-Zimmer-Wohnung","Kaiserslautern Lämmchesberg","Buchenlochstraße a","23","23"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","14","14"
"2er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","14","14"
"4er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Str.","16","16"
"3er WG","Kaiserslautern Innenstadt","Eisenbahnstr","15","15"
"2er WG","Kaiserslautern Innenstadt","Wollstraße","22","22"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserberg/Sonnenberg","Hussongstraße","25","25"
"3er WG","Kaiserslautern Innenstadt","Altenwoogstraße","14","14"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Balbierstr. Gerhard-Haupt...","22","22"
"3er WG","Kaiserslautern Innenstadt","Raiffeisenstraße","12","12"
"5er WG","Kaiserslautern Schopp","Hauptstrasse","14","14"
"2er WG","Kaiserslautern Innenstadt","Donnersbergerstrasse","14","14"
"2er WG","Kaiserslautern Innenstadt","Papiermühlestrasse","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Lutrinastraße","40","40"
"3er WG","Kaiserslautern Innenstadt","Fruchhallstraße,","29","29"
"3er WG","Kaiserslautern Kaiserslautern","Pariser Straße,","24","24"
"2er WG","Kaiserslautern Innenstadt","Moltkestraße","23","23"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Str.","20","20"
"3er WG","Kaiserslautern Innenstadt","Eisenbahnstr","16","16"
"4er WG","Kaiserslautern Innenstadt","Marie.Juchacz-Straße","14","14"
"2er WG","Kaiserslautern Innenstadt","Burgstraße","19","19"
"4er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Str.","14","14"
"3er WG","Kaiserslautern Innenstadt","Blücherstraße","18","18"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bremer Str.","25","25"
"3er WG","Kaiserslautern Innenstadt","Burgstraße","24","24"
"5er WG","Kaiserslautern Innenstadt","Karl-Marx-Str.","24","24"
"2er WG","Kaiserslautern Innenstadt","Ziegelstraße,","12","12"
"3er WG","Kaiserslautern Innenstadt","Raiffeisenstraße","15","15"
"2er WG","Kaiserslautern Uni-Wohngebit","Kurt-Schumacher-Straße","15","15"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Danzigerstr.","30","30"
"2er WG","Kaiserslautern Kaiserslautern","Forellenstraße","12","12"
"3er WG","Kaiserslautern Kaiserslautern","Zollamtstraße","11","11"
"3er WG","Kaiserslautern Kaiserslautern","Beethovenstraße","14","14"
"3er WG","Kaiserslautern Innenstadt","Fruchthallstr.","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Gersweilerweg","21","21"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bremer Str.","25","25"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bremer str.","25","25"
"1-Zimmer-Wohnung","Kaiserslautern Dansenberg","Schlehweg","25","25"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Flurstr","45","45"
"3er WG","Kaiserslautern Innenstadt","Schneiderstraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Hochsandstraße","14","14"
"2er WG","Kaiserslautern Kaiserslautern","Forellenstraße","12","12"
"4er WG","Kaiserslautern Innenstadt","Kerststr","26","26"
"4er WG","Kaiserslautern Innenstadt","Kerststr","12","12"
"3er WG","Kaiserslautern Innenstadt","Feuerbachstraße","12","12"
"3er WG","Kaiserslautern Innenstadt","Mühlstraße","13","13"
"5er WG","Kaiserslautern Innenstadt","Lauterstraße","12","12"
"3er WG","Kaiserslautern Innenstadt","Balbierstraße","17","17"
"4er WG","Kaiserslautern Innenstadt","Hummelstraße","12","12"
"5er WG","Kaiserslautern Schopp","Hauptstraße","22","22"
"5er WG","Kaiserslautern Schopp","Hauptstraße","19","19"
"3er WG","Kaiserslautern Innenstadt","Fruchthallstraße","29","29"
"3er WG","Kaiserslautern Innenstadt","Eisenbahnstraße","18","18"
"10er WG","Kaiserslautern Innenstadt","Richard-Wagner-Str.","21","21"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Richard-Wagner Strasse","28","28"
"5er WG","Kaiserslautern Innenstadt","Benzinoring","15","15"
"3er WG","Kaiserslautern Innenstadt","Balbierstraße","17","17"
"2er WG","Kaiserslautern Innenstadt","Am Gottesacker","13","13"
"4er WG","Kaiserslautern Innenstadt","Hackstraße","17","17"
"1-Zimmer-Wohnung","Kaiserslautern Gersweilerhof","Ochsenberg","38","38"
"8er WG","Kaiserslautern Innenstadt","Steinstr.","12","12"
"3er WG","Kaiserslautern Innenstadt","Pirmasenserstr.","25","25"
"4er WG","Kaiserslautern Innenstadt","Marktstraße","21","21"
"4er WG","Kaiserslautern Betzenberg","Rousseaustraße","12","12"
"6er WG","Kaiserslautern Stadtmitte","Gersweilerweg Pavillon","24","24"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kurt-Schumacherstraße","28","28"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Ludwigstrasse","22","22"
"3er WG","Kaiserslautern Innenstadt","Beethovenstraße","22","22"
"4er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","11","11"
"4er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","15","15"
"4er WG","Kaiserslautern Innenstadt","Karcherstraße","12","12"
"3er WG","Kaiserslautern Innenstadt","Steinstraße","22","22"
"2er WG","Kaiserslautern Innenstadt","Moltkestraße","17","17"
"4er WG","Kaiserslautern Innenstadt","Schillerplatz","15","15"
"3er WG","Kaiserslautern Uni-Wohnstadt","Am Harzhübel","18","18"
"5er WG","Kaiserslautern Innenstadt","Benzinoring","17","17"
"4er WG","Kaiserslautern Innenstadt","Parkstraße","12","12"
"4er WG","Kaiserslautern Innenstadt","Hummelstraße","17","17"
"4er WG","Kaiserslautern Innenstadt","Richard-Wagner-S.","15","15"
"4er WG","Kaiserslautern Innenstadt","Marktstraße,","24","24"
"3er WG","Kaiserslautern Innenstadt","Marie-Juchacz-Str.","14","14"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Gerhart Hauptmann Str.","20","20"
"3er WG","Kaiserslautern Innenstadt","Beethovenstraße","12","12"
"4er WG","Kaiserslautern Thaleischweiler-Fröschen","Fröschenerstraße","16","16"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserslautern","Buchenlochstraße","23","23"
"4er WG","Kaiserslautern Innenstadt","Mühlstraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Apfelstr.","12","12"
"3er WG","Kaiserslautern Innenstadt","Liederstraße","25","25"
"3er WG","Kaiserslautern Innenstadt","Trippstadter Straße","13","13"
"3er WG","Kaiserslautern Innenstadt","Buchfinkstr.","16","16"
"3er WG","Kaiserslautern Innenstadt","Ottostraße","35","35"
"3er WG","Kaiserslautern Innenstadt","Hochsandstraße,","16","16"
"3er WG","Kaiserslautern Innenstadt","Papiermühlstraße","15","15"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Wohnstadt","Kurt Schumacher Str.","30","30"
"3er WG","Kaiserslautern Kaiserslautern","Gersweilerweg,","19","19"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserslautern","Wackenmühlstraße ,","35","35"
"2er WG","Kaiserslautern Innenstadt","Zentrum","13","13"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bremerstraße","25","25"
"1-Zimmer-Wohnung","Kaiserslautern Uni-Nähe","Gerhart-Hauptmannstr","24","24"
"2er WG","Kaiserslautern Innenstadt","Kapelleweg","20","20"
"5er WG","Kaiserslautern Kaiserslautern","Ziegelstraße","18","18"
"4er WG","Kaiserslautern Innenstadt","Salzstraße","19","19"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","16","16"
"2er WG","Kaiserslautern Innenstadt","Eisenbahnstr.","14","14"
"3er WG","Kaiserslautern Innenstadt","Beethovenstraße","15","15"
"3er WG","Kaiserslautern Innenstadt","Feuerbachstraße","12","12"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Bremer Str.","25","25"
"3er WG","Kaiserslautern Innenstadt","Eisenbahnstr","20","20"
"3er WG","Kaiserslautern Innenstadt","Pirmasenserstraße","13","13"
"3er WG","Kaiserslautern Innenstadt","Albrechtstraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Moltkestraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Mühlstraße","14","14"
"3er WG","Kaiserslautern Innenstadt","Königstraße","12","12"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Rich - Wagnerstr.","20","20"
"3er WG","Kaiserslautern Innenstadt","Steinstraße","18","18"
"5er WG","Kaiserslautern Kotten","Stärkstraße","15","15"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Gerhart-Hauptmann-Straße","20","20"
"2er WG","Kaiserslautern Kaiserslautern","Carl-Sonnenschein-straße","18","18"
"3er WG","Kaiserslautern Innenstadt","Moltkestraße","16","16"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Schneiderstr.","15","15"
"3er WG","Kaiserslautern Innenstadt","Eisenbahnstraße","18","18"
"3er WG","Kaiserslautern Innenstadt","Moltkestraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Königstraße","14","14"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Gerswilerweg","22","22"
"3er WG","Kaiserslautern Kaiserslautern","Fabrikstraße","16","16"
"4er WG","Kaiserslautern Innenstadt","Glockenstraße","16","16"
"3er WG","Kaiserslautern Innenstadt","Logenstraße","20","20"
"6er WG","Kaiserslautern Innenstadt","Friedrich-Engels-Str.","10","10"
"3er WG","Kaiserslautern Innenstadt","Logenstraße","15","15"
"3er WG","Kaiserslautern Kaiserslautern","Bleichstr.,","22","22"
"3er WG","Kaiserslautern Innenstadt","Häfnerstr.","12","12"
"5er WG","Kaiserslautern Innenstadt","Königstr.","20","20"
"3er WG","Kaiserslautern Innenstadt","Fruchthallstr.","22","22"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kurt-Schumacher-Straße","25","25"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Wormser Str.","25","25"
"3er WG","Kaiserslautern Innenstadt","Mühlstraße","17","17"
"4er WG","Kaiserslautern Innenstadt","Ottostraße","22","22"
"4er WG","Kaiserslautern Innenstadt","Ottostraße","14","14"
"3er WG","Kaiserslautern Innenstadt","Trippstadter Str.","17","17"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Glockenstraße","38","38"
"3er WG","Kaiserslautern Innenstadt","Pirmasenserstraße","18","18"
"4er WG","Kaiserslautern Innenstadt","Fackelwoogstraße","14","14"
"2er WG","Kaiserslautern Innenstadt","Schützenstraße","14","14"
"2er WG","Kaiserslautern Innenstadt","Mozartstraße","16","16"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Moltkestr.","23","23"
"3er WG","Kaiserslautern Innenstadt","Schneiderstraße","15","15"
"4er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Str.","15","15"
"4er WG","Kaiserslautern Innenstadt","Moltkestrasse","12","12"
"2er WG","Kaiserslautern Uni Wohngebiet","Kurt-Schumacher-Straße","23","23"
"2er WG","Kaiserslautern Innenstadt","Wilhelm-Raabe-Straße","16","16"
"4er WG","Kaiserslautern Innenstadt","Fackelwoogstraße","14","14"
"5er WG","Kaiserslautern Innenstadt","Benzinoring","20","20"
"4er WG","Kaiserslautern Innenstadt","Rudolf-Breitscheid-Straße","25","25"
"3er WG","Kaiserslautern Innenstadt","Fruchthallstraße","14","14"
"4er WG","Kaiserslautern Innenstadt","Fackelwoogstraße","16","16"
"5er WG","Kaiserslautern Innenstadt","Glockenstraße","18","18"
"3er WG","Kaiserslautern Innenstadt","Eisenbahnstraße","16","16"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Theodor-Storm-Str","45","45"
"3er WG","Kaiserslautern Altstadt","Steinstraße","18","18"
"4er WG","Kaiserslautern Nähe Stadtpark","Werkstättestraße","15","15"
"4er WG","Kaiserslautern Innenstadt","Schubertstraße","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kurt-Schumacher Str","28","28"
"3er WG","Kaiserslautern Innenstadt","Wilhelmstraße","15","15"
"4er WG","Kaiserslautern Nähe Stadtpark","Werkstättestr.","16","16"
"3er WG","Kaiserslautern Innenstadt","Gaustr.","15","15"
"3er WG","Kaiserslautern Innenstadt","Richard-Wagner-Straße","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Eisenbahnstr.","23","23"
"3er WG","Kaiserslautern Innenstadt","Karl-Marx-Straße","15","15"
"5er WG","Kaiserslautern Schopp","Hauptstraße","15","15"
"3er WG","Kaiserslautern Westen","Spicherer Str,","17","17"
"5er WG","Kaiserslautern Innenstadt","Glockenstrasse","14","14"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Gersweilerweg,","25","25"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Pfeifertälchen","30","30"
"3er WG","Kaiserslautern Innenstadt","Raiffeisenstrasse","22","22"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Kleestraße","21","21"
"4er WG","Kaiserslautern Innenstadt","Schillerplatz","15","15"
"5er WG","Kaiserslautern Innenstadt","hasenstr","20","20"
"2er WG","Kaiserslautern Innenstadt","Wilhelmstraße","25","25"
"2er WG","Kaiserslautern Uninähe","Gerhart-Hauptmann-Str.","16","16"
"3er WG","Kaiserslautern Innenstadt","Benzinoring","13","13"
"2er WG","Kaiserslautern Morlautern","An der Sommerhalde","17","17"
"3er WG","Kaiserslautern Innenstadt","Beethovenstraße","19","19"
"3er WG","Kaiserslautern Innenstadt","Maxstr.","30","30"
"2er WG","Kaiserslautern Kaiserslautern","An der Emilsruhe","13","13"
"1-Zimmer-Wohnung","Kaiserslautern Kaiserslautern","Forellenstraße","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Uni--Gebiet","Gerhard-Hauptmann-Str.","21","21"
"3er WG","Kaiserslautern Innenstadt","Wilhelmstraße","20","20"
"3er WG","Kaiserslautern Innenstadt","Philipp-Hepp-Straße","20","20"
"2er WG","Kaiserslautern Innenstadt","Bierstr.","14","14"
"3er WG","Kaiserslautern Innenstadt","Am Vogelgesang","20","20"
"4er WG","Kaiserslautern Innenstadt","Lutzerstraße","12","12"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Flurstraße","39","39"
"5er WG","Kaiserslautern Innenstadt","Logenstr.","12","12"
"2er WG","Kaiserslautern Innenstadt","Fabrikstraße","22","22"
"3er WG","Kaiserslautern Innenstadt","Burgstraße","14","14"
"2er WG","Kaiserslautern Innenstadt","Barbarossastraße","20","20"
"3er WG","Kaiserslautern Innenstadt","Maxstr.","16","16"
"3er WG","Kaiserslautern Innenstadt","mühlstrasse","20","20"
"1-Zimmer-Wohnung","Kaiserslautern Innenstadt","Haspelstr.","22","22"
